case_id,n,capacity,algorithm,value,selected_items,time_seconds,iterations
1,3,10,brute_force,49,"[1, 2]",8.70799999574956e-06,0
1,3,10,greedy,30,[0],3.417000016270322e-06,0
1,3,10,DP,49,"[1, 2]",7.291999963854323e-06,0
1,3,10,simulated_annealing,49,"[1, 2]",0.15155062500002714,205200
2,3,100,brute_force,180,"[1, 2]",6.708000000799075e-06,0
2,3,100,greedy,100,[0],3.917000071851362e-06,0
2,3,100,DP,180,"[1, 2]",3.545899994605861e-05,0
2,3,100,simulated_annealing,180,"[1, 2]",0.15181858300002204,205200
3,3,20,brute_force,98,"[1, 2]",6.916999950590252e-06,0
3,3,20,greedy,95,[0],2.79200003205915e-06,0
3,3,20,DP,98,"[1, 2]",1.016700002764992e-05,0
3,3,20,simulated_annealing,98,"[1, 2]",0.1518344999999499,205200
